BATHROOMS,rent,SIZE
1,1983,335
1,2253,152
2,6500,681
1,6067,658
1,2088,296
1,2150,531
1,3294,514
1,2579,321
1,1750,482
2,2950,923
2,4680,886
1,2817,522
1,3879,742
1,2175,696
1,3900,696
2,4290,864
2,3250,950
2,3463,712
1,2700,360
1,1700,360
1,3502,968
1,1950,358
2,3640,853
2,4117,944
1,2403,401
2,3597,768
1,3135,550
1,1523,100
1,1472,100
1,1460,100
1,3135,551
1,2200,608
1,2350,377
1,2000,406
2,5308,880
1,3497,526
1,3380,987
2,4225,855
1,2300,787
1,1700,549
1,4140,410
1,1475,360
1,1185,560
1,2200,861
1,2500,710
2,4247,947
1,2652,35
1,2650,793
1,3000,690
2,4745,957
2,2000,625
2,4550,957
2,2300,708
2,4199,871
1,1782,586
1,1750,582
1,3235,687
2,2317,916
2,3399,966
1,1176,399
2,3499,938
1,2250,635
1,1395,189
1,2817,524
1,850,258
1,2492,363
2,5482,922
1,2145,87
1,5090,650
1,1845,580
2,2000,759
2,5480,929
1,1195,399
1,1875,194
2,3900,894
1,3432,592
2,4500,947
1,1650,450
1,1625,415
1,3000,736
2,3700,807
1,2578,545
1,2300,751
2,3792,603
1,1300,194
1,1400,194
1,1500,205
1,1200,183
2,3501,965
1,2200,883
1,2200,553
1,2350,650
1,2492,432
2,4199,863
1,1196,450
2,2977,941
1,2100,464
1,1850,532
1,3500,728
2,2500,742
1,1900,618
2,4009,936
2,2600,714
1,1350,198
1,2300,500
2,3095,764
1,1647,750
1,1500,232
1,2579,465
2,4380,798
1,1733,772
1,1500,248
1,2449,404
1,1290,239
1,2492,577
1,2275,640
1,3485,624
1,2000,538
1,3958,618
1,1900,719
1,1875,560
1,1230,399
1,1220,399
1,1170,205
1,2688,554
1,5200,510
1,3450,536
1,1387,205
2,3250,737
1,1583,430
1,1550,355
1,2095,570
2,2500,785
1,2850,600
1,2925,520
1,3200,431
2,2995,969
1,2150,574
1,3358,731
1,1400,320
1,2232,344
1,2773,667
1,1695,404
1,3250,850
2,2350,857
1,3225,600
1,2000,548
2,3467,915
1,1995,592
1,3000,674
2,3965,922
1,1625,523
1,1560,258
1,1150,187
1,1895,570
1,2045,538
1,2045,630
2,3000,834
1,2995,750
1,2097,618
1,1845,529
1,5000,605
2,3900,76
2,4312,712
2,6153,850
1,2200,527
1,3730,452
1,2747,590
2,5500,874
1,1600,732
2,3410,800
2,3150,912
1,1668,257
1,1625,301
2,4602,907
1,2000,398
1,4330,710
1,4225,685
2,5633,936
2,8667,936
1,3000,604
2,3748,880
2,3050,990
1,1595,366
1,1842,258
1,3250,619
1,2752,119
1,2000,718
1,1450,441
1,1975,743
2,4984,850
2,2972,941
1,1625,832
3,5980,928
1,3590,592
2,2167,718
1,953,160
1,3500,928
1,5000,928
1,2200,679
1,1585,376
2,2500,958
1,1650,248
2,2684,980
2,2400,840
1,1800,689
2,4350,861
1,2201,574
1,1680,323
1,4280,538
2,2700,786
1,3250,916
1,2232,352
1,3000,754
1,1650,460
1,1900,585
2,2800,798
1,2999,786
2,3400,943
1,1900,485
1,1900,366
1,2300,611
1,1400,403
1,2000,576
1,2100,570
2,4790,836
1,4190,945
1,2750,500
2,3450,698
1,2450,366
2,3240,763
1,2430,432
1,2040,396
1,2540,563
2,2990,700
2,4540,905
2,4390,853
2,4060,818
2,2000,731
1,1425,189
1,2102,151
1,2700,769
2,3140,650
2,3240,900
1,2250,896
2,2600,773
1,2650,444
1,2900,647
2,2350,763
1,1200,442
1,2700,430
2,4333,846
2,2520,756
1,2120,535
2,2820,893
2,2930,785
1,2440,542
1,1850,538
1,1875,538
1,2000,495
1,3390,545
2,2500,78
1,1850,519
1,2370,635
1,1650,646
2,2475,743
1,2195,600
1,1750,561
1,2817,441
2,2350,872
1,2600,432
1,2500,485
2,2250,696
1,1900,474
1,1950,597
1,3500,474
2,3800,983
2,5000,983
1,2400,440
1,1700,429
2,2500,806
1,2200,605
1,2500,435
1,1972,460
2,1950,778
1,1750,779
2,3600,860
1,2773,551
2,2100,69
1,1105,150
1,2650,659
1,2275,511
1,2000,668
1,2000,462
1,1740,452
2,3650,781
2,3100,710
2,2900,850
2,4500,950
1,1600,384
3,3950,936
1,3120,759
2,4333,850
1,1700,581
1,1750,431
2,3300,963
1,2600,613
1,2200,592
1,2650,627
1,845,107
2,2400,859
1,2350,572
1,2700,613
1,1750,673
1,1500,356
1,2097,603
1,1750,442
2,2492,832
1,1950,582
2,2450,680
1,1425,136
1,1425,172
2,2575,793
2,2000,750
1,2383,560
1,3683,586
1,2210,585
2,3645,941
1,2785,548
1,2688,626
1,2495,504
1,2050,603
1,1800,611
1,2690,366
1,1800,544
2,4030,973
1,2200,641
1,2600,708
1,1600,462
1,2384,382
1,3250,382
2,1900,556
1,2903,681
2,2100,872
1,2903,695
1,2197,926
2,2000,593
1,2323,453
1,2400,675
2,4700,840
1,1895,732
1,3597,926
1,1700,570
2,2375,848
1,2500,775
2,4073,966
1,1250,424
1,2000,526
2,2800,736
1,1062,132
1,1170,189
1,1700,423
1,1400,398
1,1754,129
1,1750,903
1,1950,599
1,1400,484
2,2400,707
1,1600,563
1,1700,350
1,1720,547
1,2700,424
2,2995,961
2,3200,879
1,2167,573
2,2800,776
1,2400,516
1,1550,365
1,2300,764
1,1500,409
2,2650,758
1,2500,630
1,3080,392
2,4030,973
1,2490,598
1,2800,659
1,2400,564
2,2625,793
1,2100,893
1,3000,578
2,2050,667
2,2100,716
2,2050,716
2,1899,716
2,3200,763
1,1950,491
1,3170,762
1,1825,482
1,2400,430
2,2200,790
1,1842,600
1,1842,613
1,2400,692
1,1750,442
1,2300,874
1,2400,472
1,1600,439
2,6000,948
2,2149,775
2,2250,888
2,2600,724
1,1750,490
2,2800,915
1,2000,649
1,2300,627
1,2000,584
1,2000,517
1,2200,480
1,1650,484
1,85,100
1,125,50
1,150,50
1,150,50
1,150,50
1,150,671
1,150,50
1,150,155
1,150,131
1,175,50
1,175,100
1,182,140
1,200,50
1,200,50
1,250,50
1,250,50
1,250,132
1,260,123
1,300,50
1,300,100
1,412,132
1,580,146
1,4290,440
2,2250,653
1,715,103
2,3790,732
1,737,92
1,737,91
1,737,71
1,1221,194
1,750,336
1,750,269
1,758,84
1,758,81
1,758,79
1,780,105
1,780,92
1,780,91
1,780,97
1,780,105
1,780,106
1,802,134
1,802,92
1,802,106
1,802,107
1,823,78
1,823,123
1,823,91
1,823,115
1,823,104
1,823,91
1,825,125
1,845,89
1,845,132
1,845,100
2,2500,802
1,867,133
1,867,91
1,867,98
1,867,140
1,867,116
1,875,409
1,888,75
1,888,105
1,888,122
1,888,109
1,888,183
1,888,136
1,888,119
1,888,95
1,888,120
1,900,259
1,900,40
